ID,Name,OverallPopulation_rate,OverallPopulation_rank,Racewhite_Rate,Racewhite_rank,Raceblack_rate,Raceblack_rank,Raceasian_rate,Raceasian_rank,Racehispanic_rate,Racehispanic_rank,Raceother_rate,Raceother_rank,Nonwhite_rate,Nonwhite_rank,Age0to17_rate,Age0to17_rank,Age18to24_rate,Age18to24_rank,Age25to44_rate,Age25to44_rank,Age45to64_rate,Age45to64_rank,Age65plus_rate,Age65plus_rank,Foreign_born,Foreign_born_rank,lower_95CL,upper_95CL,Ltd_Eng_Prof,Ltd_eng_prof_rank,lower_95CL,upper_95CL,Housing_Defects,Housing_Defects_rank,lower_95CL,upper_95CL,Airquality_rate,Airquality_rank,Tobaccoretail_rate,Tobaccoretail_rank,Supermarketarea_rate,Supermarketarea_rank,Edudidnotcompletehs_rate,Edudidnotcompletehs_rank,Eduhsdegreeorsomecollege_rate,Eduhsdegreeorsomecollege_rank,Educollegedegreeandhigher_rate,Educollegedegreeandhigher_rank,Poverty,Poverty_rank,lower_95CL,upper_95CL,Unemployment,Unemployment_rank,lower_95CL,upper_95CL,Rent_burden,Rent_burden_rank,lower_95CL,upper_95CL,Avertabledeaths_rate,Avertabledeaths_rank,Preterm_Births,Preterm_birth_rank,lower_95CL,upper_95CL,Teen_Births,reliability note,Teen_births_rank,lower_95CL,upper_95CL,Schoolabsent_rate,Schoolabsent_rank,Jailincarceration,reliability note,Jailincarceration_rank,lower_95CL,upper_95CL,Assault_Hosps,Assault_hosps_rank,lower_95CL,upper_95CL,Self_rep_health,reliability note,Self_rep_health_rank,lower_95CL,upper_95CL,Smoking,reliability note,Smoking_rank,lower_95CL,upper_95CL,Sugary_Drink,reliability note,Sugary_drink_rank,lower_95CL,upper_95CL,Fruit_Veg,reliability note,Fruitveg_rank,lower_95CL,upper_95CL,Exercise,reliability note,Exercise_rank,lower_95CL,upper_95CL,Obesity,reliability note,Obesity_rank,lower_95CL,upper_95CL,Diabetes,reliability note,Diabetes_rank,lower_95CL,upper_95CL,Alc_Hosp,Alc_hosp_rank,lower_95CL,upper_95CL,Drug_Hosp,Drug_hosp_rank,lower_95CL,upper_95CL,Insurance,reliability note,Insurance_rank,lower_95CL,upper_95CL,Didnt_Get_Care,reliability note,Didnt_get_care_rank,lower_95CL,upper_95CL,Late_No_Prenatal,Late_no_prenatal_rank,lower_95CL,upper_95CL,HPV_vaccination,Hpv_vaccination_rank,lower_95CL,upper_95CL,Flu_Vaccination,reliability note,Flu_vaccination_rank,lower_95CL,upper_95CL,HIV_Testing_Ever,reliability note,Hiv_testing_ever_rank,lower_95CL,upper_95CL,HIV_Diagnosis,reliability note,HIV_diagnosis_rank,lower_95CL,upper_95CL,Stroke_Hosp,Stroke_hosp_rank,lower_95CL,upper_95CL,Psych_Hosp,Psych_hosp_rank,lower_95CL,upper_95CL,Asthma_5to14,reliability note,Asthma_5to14_rank,lower_95CL,upper_95CL,Avoidable_Asthma,Avoidable_asthma_rank,lower_95CL,upper_95CL,Avoidable_Diabetes,Avoidable_diabetes_rank,lower_95CL,upper_95CL,IMR,reliability note,Imr_rank,lower_95CL,upper_95CL,Premature_Mort,Premature_mort_rank,lower_95CL,upper_95CL,Life_expectancy_rate,Life_expectancy_rank
0,NYC,8405837,n/a,33,n/a,23,n/a,14,n/a,29,n/a,2,n/a,67,n/a,21,n/a,10,n/a,32,n/a,25,n/a,13,n/a,37,n/a,37.1,37.5,23,n/a,22.9,23.4,59,n/a,57.9,60.1,8.6,n/a,11,n/a,177,n/a,20,n/a,39,n/a,41,n/a,21,n/a,20.8,21.2,11,n/a,10.3,10.7,51,n/a,50.9,52,n/a,n/a,9,n/a,8.8,9.2,23.6,,n/a,23.3,23.9,20,n/a,93,,n/a,90.5,95.1,64,n/a,62.8,64.8,78,,n/a,77.5,78.9,15,,n/a,14.7,16.1,27,,n/a,26.3,28,88,,n/a,87,88.3,77,,n/a,76.4,77.9,24,,n/a,22.9,24.4,10,,n/a,9.9,10.9,1019,n/a,1011.3,1027,907,n/a,889.3,914.1,20,,n/a,18.9,20.5,11,,n/a,10.3,11.5,7.4,n/a,7.3,7.5,43,n/a,42.3,42.7,40,,n/a,39,40.7,62,,n/a,60.9,62.6,30.4,,n/a,29.2,31.6,319,n/a,314.72903441031,323.47096558969,684,n/a,677.9,690.5,36,,n/a,35.5,37.3,249,n/a,245.1,252.8,312,n/a,307.6,316.2,4.7,,n/a,4.5,4.9,198.4,n/a,196.8,200,n/a,n/a
1,Manhattan,1626159,n/a,48,n/a,13,n/a,12,n/a,26,n/a,2,n/a,52,n/a,15,n/a,10,n/a,38,n/a,24,n/a,14,n/a,29,n/a,28.2,29.4,16,n/a,15.4,16.5,57,n/a,55.1,59.3,10.7,n/a,13,n/a,207,n/a,14,n/a,24,n/a,63,n/a,18,n/a,17.8,18.8,8,n/a,8,8.8,45,n/a,43.7,45.9,n/a,n/a,8.1,n/a,7.7,8.5,16,,n/a,15.3,16.7,18,n/a,103,,n/a,97.6,108.3,51,n/a,49.3,53.3,83,,n/a,81.7,84.6,15,,n/a,13,16.1,20,,n/a,18.3,21.8,91,,n/a,89.6,92.1,84,,n/a,82.3,85.2,16,,n/a,14.2,16.9,7,,n/a,6,7.5,1084,n/a,1066.3,1102.5,1025,n/a,1007.6,1043,15,,n/a,13.5,16.8,10,,n/a,8.9,11.4,5.3,n/a,5,5.6,54,n/a,53.7,55.3,43,,n/a,41.2,45.1,66,,n/a,64,67.8,45.6,,n/a,42.3,48.9,264,n/a,254.4,271.9,755,n/a,740,769.1,33,,n/a,30.7,35.3,196,n/a,188.6,203.7,233,n/a,224.7,241.1,3.4,,n/a,2.9,3.9,152.7,n/a,150,155.4,n/a,n/a
2,Bronx,1418733,n/a,11,n/a,30,n/a,4,n/a,55,n/a,1,n/a,89,n/a,26,n/a,12,n/a,28,n/a,24,n/a,11,n/a,34,n/a,33.5,34.6,26,n/a,25.3,26.4,69,n/a,66.9,71.9,9.1,n/a,11,n/a,155,n/a,30,n/a,45,n/a,25,n/a,31,n/a,29.7,31.7,16,n/a,14.9,16.1,58,n/a,56.7,59.3,n/a,n/a,9.9,n/a,9.5,10.3,34.4,,n/a,33.5,35.3,29,n/a,156,,n/a,148.4,163.3,115,n/a,111.4,117.8,73,,n/a,71.5,75.2,16,,n/a,14.6,17.7,35,,n/a,33.3,37.5,82,,n/a,79.9,83.4,74,,n/a,72,75.8,31,,n/a,29,33,14,,n/a,12.3,15.1,1633,n/a,1607.9,1657.9,1761,n/a,1735.6,1787.1,22,,n/a,20.5,24.4,12,,n/a,10.9,13.8,12.3,n/a,11.8,12.8,53,n/a,52.6,53.9,46,,n/a,43.6,47.9,75,,n/a,72.7,76.4,39.8,,n/a,36.5,43.1,375,n/a,364.3,388.7,797,n/a,779.6,813.8,72,,n/a,69.4,74.6,508,n/a,493.8,521.5,503,n/a,489.1,516.9,5.7,,n/a,5.1,6.3,238.9,n/a,235.2,242.6,n/a,n/a
3,Brooklyn,2592149,n/a,36,n/a,31,n/a,11,n/a,20,n/a,2,n/a,64,n/a,23,n/a,10,n/a,32,n/a,23,n/a,12,n/a,38,n/a,37.3,38,24,n/a,23.4,24.1,62,n/a,60.2,64,8.7,n/a,11,n/a,156,n/a,21,n/a,41,n/a,38,n/a,24,n/a,23.1,24.3,11,n/a,10.8,11.6,52,n/a,51.5,53.1,n/a,n/a,8.8,n/a,8.5,9.1,24,,n/a,23.4,24.6,19,n/a,96,,n/a,92,100.5,66,n/a,64.6,68.2,75,,n/a,73.8,76.6,16,,n/a,14.4,17,27,,n/a,25.6,28.6,87,,n/a,85.3,87.7,75,,n/a,73.6,76.6,27,,n/a,25.2,28.2,11,,n/a,10.5,12.5,1041,n/a,1026.5,1055.7,921,n/a,907,934.3,20,,n/a,18.9,21.8,12,,n/a,10.4,12.7,6.4,n/a,6.2,6.6,36,n/a,35.6,36.7,36,,n/a,34.2,37.3,61,,n/a,59,62.2,27.9,,n/a,25.9,29.9,344,n/a,335.2,352.1,734,n/a,722.5,746.3,32,,n/a,30.4,33.2,263,n/a,256.2,270.7,357,n/a,348.8,365.8,3.9,,n/a,3.6,4.2,194.5,n/a,191.8,197.2,n/a,n/a
4,Queens,2296175,n/a,27,n/a,18,n/a,25,n/a,28,n/a,2,n/a,73,n/a,20,n/a,9,n/a,31,n/a,26,n/a,13,n/a,48,n/a,47.8,48.5,29,n/a,28.2,29,51,n/a,48.8,53.8,8.4,n/a,9,n/a,180,n/a,20,n/a,42,n/a,38,n/a,16,n/a,15.3,16.3,10,n/a,9.1,9.9,53,n/a,52.4,54.5,n/a,n/a,8.4,n/a,8.1,8.7,18.7,,n/a,18.1,19.3,14,n/a,52,,n/a,48.3,54.8,41,n/a,39.9,42.9,79,,n/a,77.9,80.6,15,,n/a,13.3,16,28,,n/a,26,29.4,89,,n/a,88.2,90.6,76,,n/a,74.2,77.3,21,,n/a,19.8,22.6,10,,n/a,9.4,11.3,638,n/a,626,649.3,357,n/a,348.2,365.8,22,,n/a,20.9,24.1,11,,n/a,9.5,11.8,9,n/a,8.7,9.3,41,n/a,40.5,41.7,39,,n/a,36.9,40.2,56,,n/a,53.8,57.3,20.5,,n/a,18.6,22.4,305,n/a,297.4,313.4,500,n/a,489.6,510.2,21,,n/a,19.5,22.1,141,n/a,135.2,146,229,n/a,222.1,235.9,4.7,,n/a,4.2,5.2,140.8,n/a,138.6,143,n/a,n/a
5,Staten Island,472621,n/a,63,n/a,10,n/a,8,n/a,18,n/a,1,n/a,37,n/a,22,n/a,9,n/a,26,n/a,28,n/a,14,n/a,21,n/a,20.3,22.3,11,n/a,10.1,11.5,29,n/a,22.7,35.5,8,n/a,9,n/a,234,n/a,12,n/a,51,n/a,38,n/a,12,n/a,10.9,13.3,8,n/a,7,8.2,49,n/a,45.9,51.4,n/a,n/a,9.8,n/a,9,10.6,14.3,,n/a,13.2,15.4,19,n/a,61,,n/a,53.3,69.1,57,n/a,53.3,61.3,83,,n/a,81,85.4,20,,n/a,17.5,23.2,28,,n/a,25.5,31.7,89,,n/a,86.2,90.6,78,,n/a,75.5,80.9,29,,n/a,26.5,32.6,10,,n/a,8.3,11.5,934,n/a,903,965.1,830,n/a,799.6,860,12,,n/a,9.7,14.7,8,,n/a,6.4,10.2,2.3,n/a,1.9,2.7,22,n/a,20.9,23.7,39,,n/a,35.7,41.4,48,,n/a,44.4,51,11.8,,n/a,8.7,14.9,311,n/a,293,328.1,773,n/a,744.3,802.2,15,,n/a,13,17.4,209,n/a,194.1,223.3,267,n/a,250.4,283.2,4.7,,n/a,3.6,5.8,184.7,n/a,179.3,190.1,n/a,n/a
101,Financial District,62829,57,66,9,4,44,20,13,8,56,3,6,34,51,14,54,11,16,50,1,18,58,7,59,24,48,21.8,25.8,6,56,5.3,7.7,44,50,34.3,53.5,11.1,4,25,2,172,26,4,56,12,58,84,1,8,56,6.3,8.7,5,58,3.5,5.5,37,58,34.2,40.5,n/a,-,7.2,49,5.7,8.7,1.1,*,59,0,2.2,4,59,15,*,56,4.5,24.8,20,52,13.8,29,89,,3,84.4,92.3,16,,29,11.1,21.6,14,,55,9.7,19.6,95,*,2,90.8,97.5,87,,6,82.4,90.2,9,,57,6.2,12.5,3,,57,2.1,5.5,509,51,432.9,585.7,404,43,338.1,469.1,10,,57,6.2,15.6,9,,46,6,13.8,1.5,58,0.8,2.2,40,24,36.1,43.9,44,,13,38.1,50.5,64,,30,57.2,69.5,33.4,,26,19.1,47.7,257,44,196,318.5,259,59,209.8,307.4,8,*,54,1.6,14.8,80,53,46.5,112.9,98,55,62,134.2,1.5,*,58,0.2,2.8,75.6,59,64.3,86.9,85.4,1
102,Greenwich Village and Soho,91961,53,75,3,2,55,14,21,6,59,3,11,25,57,9,56,10,38,43,6,24,35,14,18,24,48,21.8,25.8,6,56,5.3,7.7,44,50,34.3,53.5,10.9,6,17,4,252,11,4,56,12,58,84,1,8,56,6.3,8.7,5,58,3.5,5.5,37,58,34.2,40.5,n/a,-,7.6,42,5.8,9.4,1.3,*,58,0.5,2.1,6,57,19,,54,9.7,28.3,12,58,8.2,16.1,89,,3,84.4,92.3,16,,29,11.1,21.6,14,,55,9.7,19.6,95,*,2,90.8,97.5,87,,6,82.4,90.2,9,,57,6.2,12.5,3,,57,2.1,5.5,485,53,435,535.7,334,47,292.4,376.4,10,,57,6.2,15.6,9,,46,6,13.8,2.2,54,1.2,3.2,38,29,34.7,41.4,44,,13,38.1,50.5,64,,30,57.2,69.5,31.5,,28,20,43,140,59,113.3,167.2,300,57,261.6,338.1,7,*,56,1.5,13.3,46,59,30.2,60.9,54,59,37.6,71.4,2,*,55,0.2,3.8,93.3,57,84,102.6,84.3,4
103,Lower East Side and Chinatown,168298,19,31,28,7,38,34,4,25,26,2,21,69,32,13,55,12,12,35,14,24,28,15,13,36,29,34.3,37.5,30,18,28,31.1,58,30,51.9,64.7,9.9,13,12,25,229,15,27,16,28,50,45,17,28,18,25.2,30.2,9,39,7.2,10.6,49,46,45.3,51.9,20,35,8.4,37,7,9.8,13.5,,45,11.6,15.4,16,34,117,,19,100,134.8,45,31,38.9,50.4,71,,45,64.4,76.5,17,,22,11.5,23.2,21,,47,16.1,27.7,93,,9,89,95.3,80,,12,74.7,84.5,12,,53,9.1,15.9,12,,26,9.4,14.8,1144,20,1086.7,1201.2,980,21,926,1033.2,16,,41,11.8,22.5,11,,23,7.8,16.6,4.8,45,3.7,5.9,60,3,58.1,61.6,44,,11,37.8,51,61,,36,53.8,68.2,41,,18,31.3,50.7,272,39,244.4,298.6,723,22,679.2,767.1,25,,28,18.9,31.7,265,21,238.4,292,275,33,247.7,302.2,2.4,,50,1.1,3.7,183,27,173.3,192.7,80.9,30
104,Clinton and Chelsea,106128,47,60,14,6,39,14,22,18,33,2,12,40,46,9,57,8,52,46,4,25,21,12,31,26,45,23.8,27.4,9,49,7.5,10.2,51,39,41.8,60,11.4,3,17,5,274,8,5,54,19,53,76,6,13,45,10.8,14.6,7,45,6.1,8.5,43,50,39.4,46.6,14,40,9,27,7.2,10.8,12.3,,46,9,15.6,13,41,73,,29,55.7,89.4,41,36,33.9,48.1,84,,12,77.5,88.4,13,,46,9.2,19.1,19,,50,14.1,25.8,93,,7,88.1,95.8,90,,1,86,92.6,10,,55,7.4,14.3,4,,55,2.6,5.3,1299,16,1222.9,1374.8,1118,19,1048.3,1188.5,12,,49,8.2,18.5,7,,53,4.9,10.9,5.4,42,4,6.8,45,19,42.3,48.6,43,,17,36.3,49.2,66,,23,60.8,71.3,116.8,,1,96.2,137.4,205,54,172.8,236.4,989,12,924.6,1052.9,20,,33,10.6,29.8,161,36,133.7,188.2,156,47,129.3,182.5,4.9,,24,2.3,7.5,140.5,43,129.8,151.2,82,22
